"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"321","관광펜션업","03_11_02_P","4160000","CDFI3261092023000011","2023-08-31","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 상면 행현리 481-25","경기도 가평군 상면 수목원로 238-99","12448","레브","2024-06-10 22:38:09","U","2024-06-12 02:40:00","","231443.580895352","472930.248237489","관광펜션업","","","2","","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","114.7","","0","","","","","","","0","","","","115",
"322","관광펜션업","03_11_02_P","4930000","CDFI3261092023000002","2023-08-24","","01","영업/정상","13","영업중","","","","","","","","전라남도 해남군 삼산면 구림리 785-4","전라남도 해남군 삼산면 고산로 767-19","59047","수희재펜션","2024-04-23 09:59:50","U","2024-04-25 02:40:00","","164167.490796083","111478.443329811","관광펜션업","","","2","","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","88.02","","0","","","","","","","0","","","","88",
"323","관광펜션업","03_11_02_P","5120000","CDFI3261092023000001","2023-08-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 문경시 동로면 적성리 460","경상북도 문경시 동로면 금천로 2466-28","36903","장미회관","2023-08-31 13:14:25","I","2023-09-02 00:18:46","","317725.360691478","363583.218685634","관광펜션업","","","2","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","155.52","","0","","","","","","","0","","","","156",
"324","관광펜션업","03_11_02_P","4930000","CDFI3261092023000001","2023-08-03","","01","영업/정상","13","영업중","","","","","","","","전라남도 해남군 삼산면 구림리 726-8","전라남도 해남군 삼산면 고산로 767-17","59047","수희재한옥펜션","2024-04-23 10:00:05","U","2024-04-25 02:40:00","","164245.269291049","111521.49119554","관광펜션업","","","1","","","","단독주택","1","0","0","0","Suheejae","The tourism pension industry","0","0","","0","0","","0","81.9","","0","","","","","","","0","","","","82",
"325","관광펜션업","03_11_02_P","4810000","CDFI3261092023000002","2023-08-16","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 화양면 이목리 512","전라남도 여수시 화양면 화서로 150-43","59653","여운향 풀빌라","2023-08-16 12:39:25","I","2023-08-18 00:18:28","","251941.004334347","128202.120833085","관광펜션업","","","2","기타","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","148.16","","0","","","","","","","0","","","","148",
"326","관광펜션업","03_11_02_P","4810000","CDFI3261092023000003","2023-08-16","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 화양면 이목리 512","전라남도 여수시 화양면 화서로 150-45","59653","스테이 여운향","2023-08-16 12:40:06","I","2023-08-18 00:18:28","","251941.004334347","128202.120833085","관광펜션업","","일반주거지역","2","기타","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","192.24","","0","","","","","","","0","","","","192",
"327","관광펜션업","03_11_02_P","5050000","CDFI3261092023000012","2023-08-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 보문동 531-7","경상북도 경주시 보문마을4길 23 (보문동)","38175","라움 더 한옥 풀빌라","2023-08-28 09:16:32","I","2023-08-30 00:18:41","","403660.07564962","261501.323493806","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","219.69","","0","","","","","","","0","","","","220",
"328","관광펜션업","03_11_02_P","5120000","CDFI3261092023000002","2023-09-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 문경시 가은읍 왕능리 335-17","경상북도 문경시 가은읍 양산개5길 5","36996","고결 문경","2023-09-08 08:35:22","I","2023-09-10 00:18:09","","295132.761670776","349596.908540868","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"329","관광펜션업","03_11_02_P","4170000","CDFI3261092023000003","2023-08-11","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 용문면 조현리 293-13","경기도 양평군 용문면 장뜰길46번길 13-12","12511","주식회사 그라지타운","2024-05-28 13:04:58","U","2024-05-30 02:40:00","","253755.787018143","446370.960738431","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","1200000000","","","","0",
"330","관광펜션업","03_11_02_P","5690000","CDFI3261092023000002","2023-06-30","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 장군면 금암리 367-12 청벽비발디","세종특별자치시 장군면 금송로 161, 청벽비발디","30056","위드펜션","2023-06-30 15:17:46","I","2023-07-02 00:19:39","","219320.203376119","326378.832536592","관광펜션업","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"331","관광펜션업","03_11_02_P","4540000","CDFI3261092023000001","2023-08-14","","01","영업/정상","13","영업중","","","","","","","","충청남도 논산시 양촌면 오산리 57","충청남도 논산시 양촌면 바랑산1길 188-12","33025","벤자민","2023-08-14 11:30:09","I","2023-08-17 00:18:30","","225288.595775932","292563.80004867","관광펜션업","","","2","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"332","관광펜션업","03_11_02_P","4170000","CDFI3261092023000002","2023-07-27","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 강하면 동오리 496","경기도 양평군 강하면 동문3길 22-13","12577","산온잔등","2023-07-27 11:12:22","I","2023-07-29 00:18:58","","234416.522349245","439622.571147368","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"333","관광펜션업","03_11_02_P","5050000","CDFI3261092023000010","2023-07-27","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 양남면 수렴리 208-4","경상북도 경주시 양남면 양남로 170","38220","구공스테이 경주","2023-07-27 17:30:32","I","2023-07-29 00:18:58","","422416.004273484","243549.832458847","관광펜션업","","","1","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","104.22","","0","","","","","","","100000000","","","","104",
"334","관광펜션업","03_11_02_P","5050000","CDFI3261092023000011","2023-07-27","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 서면 운대리 981-3","경상북도 경주시 서면 군실길 121-1","38052","하유일기","2023-07-27 17:30:49","I","2023-07-29 00:18:58","","","","관광펜션업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","146.29","","0","","","","","","","500000000","","","","146",
"335","관광펜션업","03_11_02_P","5220000","CDFI3261092023000002","2023-08-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 칠곡군 왜관읍 봉계리 505-10","경상북도 칠곡군 왜관읍 봉계로 244","39870","위드패밀리 C동","2023-11-20 17:36:19","U","2023-11-22 02:40:00","","330392.077876222","278220.248465669","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"336","관광펜션업","03_11_02_P","5220000","CDFI3261092023000003","2023-08-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 칠곡군 왜관읍 봉계리 505-9","경상북도 칠곡군 왜관읍 봉계로 246","39870","위드패밀리","2023-11-20 17:38:35","U","2023-11-22 02:40:00","","330406.991892303","278244.443754658","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"337","관광펜션업","03_11_02_P","5220000","CDFI3261092023000004","2023-08-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 칠곡군 왜관읍 봉계리 505-8","경상북도 칠곡군 왜관읍 봉계로 248","39870","위드패밀리 A동","2023-11-20 17:48:46","U","2023-11-22 02:40:00","","330402.628215821","278260.84943859","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"338","관광펜션업","03_11_02_P","3630000","CDFI3261092023000001","2023-07-31","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 박호동 418","광주광역시 광산구 박뫼길 11-6, 3층 (박호동)","62398","스테이더아람B","2023-07-31 17:30:38","I","2023-08-02 00:18:52","","176540.239620853","185508.971820455","관광펜션업","","","3","","","","","3","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"339","관광펜션업","03_11_02_P","5050000","CDFI3261092023000008","2023-07-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 시래동 2-1","경상북도 경주시 광산길 199-16 (시래동)","38127","어디에서 왔니","2023-07-20 09:28:17","I","2023-07-22 00:18:52","","409254.954476238","255516.689585851","관광펜션업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","150.9","","0","","","","","","","500000000","","","","151",
"340","관광펜션업","03_11_02_P","5050000","CDFI3261092023000009","2023-07-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 진현동 223-3","경상북도 경주시 진티5길 13-7 (진현동)","38127","밤부","2023-07-24 10:11:54","I","2023-07-26 00:18:54","","411254.054487197","255831.729000639","관광펜션업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","223.2","","0","","","","","","","600000000","","","","223",
"341","관광펜션업","03_11_02_P","4160000","CDFI3261092023000009","2023-07-07","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 북면 제령리 622-12","경기도 가평군 북면 가화로 1462-16, A동","12405","멍스타펜션","2023-07-07 17:14:14","I","2023-07-09 00:19:03","","244718.744732127","488398.790238086","관광펜션업","","전용주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","268.62","","0","","","","","","","0","","","","269",
"342","관광펜션업","03_11_02_P","4620000","CDFI3261092023000001","2023-08-23","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 원청리 509-1","충청남도 태안군 남면 청포대길 17","32157","아멜리아풀빌라","2023-08-23 10:45:13","I","2023-08-25 00:18:32","","137901.340631666","348893.998014867","관광펜션업","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","855.8","","0","","","","","","","0","","","","856",
"343","관광펜션업","03_11_02_P","5180000","CDFI3261092016000001","2016-06-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 영덕군 병곡면 병곡리 1-5번지","경상북도 영덕군 병곡면 흰돌로 40-1","36404","비사이드 관광펜션","2017-11-20 11:25:36","I","2018-08-31 23:59:59","","415930.874903949","347838.095937184","관광펜션업","","","2","기타","","","숙박시설","2","","","","","","","","","","","","","995.18","","","","","","","","","1800000000","","","","995",
"344","관광펜션업","03_11_02_P","5180000","CDFI3261092006000001","2006-07-18","","01","영업/정상","13","영업중","","","","","054-733-7080","","766-841","경상북도 영덕군 남정면 남호리 18-4","경상북도 영덕군 남정면 동해대로 4142","766-841","블루오션펜션","2021-09-16 10:54:28","U","2021-09-18 02:40:00","","413592.392059913","316855.738353446","관광펜션업","","상업지역","3","기타","","","숙박시설","3","","","","","","","","","","","","","907","","","","","","","","","","","","","907",
"345","관광펜션업","03_11_02_P","5180000","CDFI3261092011000001","2011-09-15","","01","영업/정상","13","영업중","","","","","054) 734-8282","","766-823","경상북도 영덕군 강구면 하저리 14-1","경상북도 영덕군 강구면 영덕대게로 559","36453","바다빌리지 관광펜션","2021-12-05 18:58:59","U","2021-12-07 02:40:00","","416450.413645303","323941.575224518","관광펜션업","","관리지역","3","기타","","","","3","0","0","0","","","0","0","","0","0","","0","506.92","","0","","","","","","","550000000","","","","507",
"346","관광펜션업","03_11_02_P","5180000","CDFI3261092012000002","2012-02-27","","01","영업/정상","13","영업중","","","","","054)732-0812","","766-853","경상북도 영덕군 병곡면 병곡리 24번지 8통3반","경상북도 영덕군 병곡면 병곡1길 37","766-853","메르센트펜션","2013-11-13 10:22:01","I","2018-08-31 23:59:59","","416014.753087962","347440.735847272","관광펜션업","","관리지역","3","주택가주변","","","숙박시설","3","","","","","","","","","","","","","1009.04","","","","","","","","","","","","","1009",
"347","관광펜션업","03_11_02_P","5180000","CDFI3261092014000001","2014-11-17","","01","영업/정상","13","영업중","","","","","054-734-9977","","766-853","경상북도 영덕군 병곡면 백석리 340-1번지","경상북도 영덕군 병곡면 흰돌로 112","36403","비프리비(VIE PRIVEE) 펜션","2018-01-25 09:49:49","I","2018-08-31 23:59:59","","415736.372683759","348655.812259932","관광펜션업","","관리지역","4","기타","","","숙박시설","3","1","","","","","","","","","","","","1226.97","","","","","","","","","","","","","1227",
"348","관광펜션업","03_11_02_P","5180000","CDFI3261092017000002","2017-11-08","","01","영업/정상","13","영업중","","","","","054-734-0812","","","경상북도 영덕군 병곡면 병곡리 15-2번지","경상북도 영덕군 병곡면 병곡1길 39","36404","메르센트리조트","2017-11-08 08:07:03","I","2018-08-31 23:59:59","","416012.221310643","347392.917858439","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","994.13","","","","","","","","","1800000000","","","","994",
"349","관광펜션업","03_11_02_P","5080000","CDFI3261092016000001","2016-11-16","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 남통동 312-3","경상북도 구미시 금오산상가길 21-5 (남통동)","39309","유아이","2025-01-16 16:42:47","U","2025-01-18 02:40:00","","318337.258662428","290834.221259743","관광펜션업","","자연녹지지역","3","기타","","","숙박시설","3","1","0","0","","","0","0","","0","0","","0","1092","","0","","","","","","","1900000000","","","","1092",
"350","관광펜션업","03_11_02_P","5110000","CDFI3261092007000001","2007-05-10","","01","영업/정상","13","영업중","","","","","","","742-961","경상북도 상주시 사벌국면 삼덕리 3-4","경상북도 상주시 사벌면 경천로 650","37128","경천대펜션","2023-09-26 09:22:17","U","2023-09-28 02:40:00","","311330.194860415","328939.498932819","관광펜션업","관광사업","관리지역","2","기타","","","","2","0","0","0","","","0","0","","0","0","","0","573.92","","0","","","","","","","0","","","","574",
"351","관광펜션업","03_11_02_P","5050000","CDFI3261092012000002","2012-09-13","","01","영업/정상","13","영업중","","","","","","","780-170","경상북도 경주시 탑동 56-11","경상북도 경주시 포석로 932 (탑동)","38172","계림궁","2024-08-13 16:41:34","U","2024-08-15 02:40:00","","399740.58743482","260500.439006168","관광펜션업","","자연녹지지역","1","","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","180.92","","0","","","","","","","50000000","","","","181",
"352","관광펜션업","03_11_02_P","5050000","CDFI3261092014000005","2014-08-26","","01","영업/정상","13","영업중","","","","","0547445559","","780-400","경상북도 경주시 진현동","경상북도 경주시 진현로3길 16 (진현동)","38127","토함빌리지","2018-05-08 17:52:48","I","2018-08-31 23:59:59","","409972.904703563","256308.886909396","관광펜션업","","일반상업지역","2","","","","숙박시설","2","","","","","","","","","","","","","453.2","","","","","","","","","","","","","453",
"353","관광펜션업","03_11_02_P","5260000","CDFI3261092012000001","2012-04-17","","01","영업/정상","13","영업중","","","","","054-791-6080","","799-821","경상북도 울릉군 북면 천부리 718-44","경상북도 울릉군 북면 울릉순환로 3126","40211","바다풍경펜션","2024-12-11 13:24:18","U","2024-12-14 02:40:00","","542288.32651638","456282.970307929","관광펜션업","","","3","","","","숙박시설","3","0","0","0","Bada Punggyeong","Tourism Pention","0","0","","0","0","","0","132.78","","0","","","","","","","0","","","","133",
"354","관광펜션업","03_11_02_P","5260000","CDFI3261092013000001","2013-03-13","","01","영업/정상","13","영업중","","","","","054-791-0081","","","경상북도 울릉군 울릉읍 사동리 338-17","경상북도 울릉군 울릉읍 사동2길 190","40228","(주)울릉드림","2024-12-11 13:25:50","U","2024-12-14 02:40:00","","543749.298689244","449618.789409191","관광펜션업","","","3","","","","숙박시설","3","0","0","0","","","0","0","","0","0","","0","992.58","","0","","","","","","","200000000","","","","993",
"355","관광펜션업","03_11_02_P","5260000","CDFI3261092013000002","2013-08-09","","01","영업/정상","13","영업중","","","","","","","","경상북도 울릉군 울릉읍 도동리 146-2 해오름펜션","경상북도 울릉군 울릉읍 도동1길 35-10, 해오름펜션","40227","해오름관광펜션","2024-12-11 13:33:28","U","2024-12-14 02:40:00","","545350.350356109","449872.850229226","관광펜션업","","","1","","","","","0","0","0","0","","","0","0","","0","0","","0","77.23","","0","","","","","","","400000000","","","","77",
"356","관광펜션업","03_11_02_P","5260000","CDFI3261092015000001","2015-07-06","","01","영업/정상","13","영업중","","","","","","","799-803","경상북도 울릉군 울릉읍 사동리 285-1","경상북도 울릉군 울릉읍 울릉순환로 590-9","40230","쉐르빌관광펜션","2024-12-11 13:37:12","U","2024-12-14 02:40:00","","543792.735758846","448785.110182855","관광펜션업","","","0","","","","","0","0","0","0","Cherevil tourist Pension","Tourist Pension","0","0","","0","0","","0","30.84","","0","","","","","","","400000000","","","","31",
"357","관광펜션업","03_11_02_P","5260000","CDFI3261092015000002","2015-08-13","","01","영업/정상","13","영업중","","","","","054-791-7979","","","경상북도 울릉군 북면 현포리 527-10","경상북도 울릉군 북면 울릉순환로 2626 (현포해양박물관)","40205","추억관광펜션","2024-12-11 13:47:54","U","2024-12-14 02:40:00","","538093.205944991","454492.872719736","관광펜션업","","","0","","","","","0","0","0","0","Memorial tourist Pension","Tourist Pension","0","0","","0","0","","0","531.12","","0","","","","","","","0","","","","531",
"358","관광펜션업","03_11_02_P","5260000","CDFI3261092015000003","2015-12-01","","01","영업/정상","13","영업중","","","","","054-791-4171","","","경상북도 울릉군 울릉읍 사동리 546","경상북도 울릉군 울릉읍 간령길 81-2","40232","하얀고래펜션","2024-12-11 13:49:17","U","2024-12-14 02:40:00","","542521.908988179","447337.075787636","관광펜션업","","일반상업지역","2","","","","","0","0","0","0","","","0","0","","0","0","","0","154.25","","0","","","","","","","0","","","","154",
"359","관광펜션업","03_11_02_P","5250000","CDFI3261092013000004","2013-09-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 울진군 기성면 망양리 3번지","경상북도 울진군 기성면 망양1길 72","36347","마일랑관광펜션","2016-05-25 16:45:46","I","2018-08-31 23:59:59","","417471.580738101","373462.027058349","관광펜션업","","","","기타","","","단독주택","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"360","관광펜션업","03_11_02_P","5250000","CDFI3261092013000005","2013-09-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 울진군 기성면 망양리 3","경상북도 울진군 기성면 망양1길 72","36347","새파랑관광펜션","2018-12-20 14:33:26","U","2021-08-20 02:40:00","","417471.580738101","373462.027058349","관광펜션업","","","","기타","","","단독주택","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"361","관광펜션업","03_11_02_P","5260000","CDFI3261092017000004","2017-05-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 울릉군 울릉읍 사동리 544","경상북도 울릉군 울릉읍 간령길 93-9","40232","그때그기펜션","2024-12-11 13:50:30","U","2024-12-14 02:40:00","","542487.220736533","447327.693449997","관광펜션업","","","4","","","","","4","0","0","0","","","0","0","","0","0","","0","549.26","","0","","","","","","","0","","","","549",
"362","관광펜션업","03_11_02_P","5260000","CDFI3261092017000005","2017-06-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 울릉군 울릉읍 사동리 219-1","경상북도 울릉군 울릉읍 울릉순환로 538","40230","진미펜션","2024-12-11 13:51:56","U","2024-12-14 02:40:00","","544264.531256582","449003.071321306","관광펜션업","","","4","","","","","3","1","0","0","","","0","0","","0","0","","0","321.96","","0","","","","","","","0","","","","322",
"363","관광펜션업","03_11_02_P","5260000","CDFI3261092018000001","2018-05-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 울릉군 울릉읍 도동리 300-22","경상북도 울릉군 울릉읍 봉래1길 19-32, 1동 3층","40220","섬지기펜션","2022-05-13 15:57:12","U","2022-05-15 02:40:00","","545757.667001741","450777.395591953","관광펜션업","","일반공업지역","3","","","","단독주택","3","0","0","0","","","0","0","","0","0","","0","322.14","","0","","","","","","","600000000","","","","322",
"364","관광펜션업","03_11_02_P","5240000","CDFI3261092014000001","2014-07-21","","01","영업/정상","13","영업중","","","","","","","755-881","경상북도 봉화군 소천면 고선리 558번지","경상북도 봉화군 소천면 구마동길 1032","36264","고향펜션캠핑","2020-04-02 09:54:25","U","2020-04-04 02:40:00","","372469.387846592","391871.293163118","관광펜션업","","관리지역","2","기타","","","단독주택","2","0","","","","","","","","","","","","176.84","","","","","","","","","300000000","","","","177",
"365","관광펜션업","03_11_02_P","5160000","CDFI3261092010000001","2010-05-17","","01","영업/정상","13","영업중","","","","","054-872-1171","","763-812","경상북도 청송군 진보면 괴정리 206-3","경상북도 청송군 진보면 경동로 5544","","하늘과 닿은 황장재 펜션","2024-06-04 17:18:24","U","2024-06-06 02:40:00","","392720.870807906","334227.688383715","관광펜션업","","","1","","","","","1","0","0","0","","","0","0","","0","0","","0","730.05","","0","","","","","","","0","","","","730",
"366","관광펜션업","03_11_02_P","4510000","CDFI3261092015000008","2015-06-18","","01","영업/정상","13","영업중","","","","","","","355-884","충청남도 보령시 남포면 월전리 산 154-1번지","충청남도 보령시 남포면 남포방조제로 408-52, 104동","33501","(주)한네트","2015-06-19 14:05:13","I","2018-08-31 23:59:59","","","","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Hannet Co. Ltd.","Tourism Pension","","","","","","","","128.48","","","","","","","","","5782000000","","","","128",
"367","관광펜션업","03_11_02_P","4510000","CDFI3261092010000003","2010-10-20","","01","영업/정상","13","영업중","","","","","041-932-0647","","355-943","충청남도 보령시 신흑동 2258-1번지","충청남도 보령시 해수욕장9길 6 (신흑동)","33489","제일펜션","2019-04-10 11:03:35","U","2019-04-12 02:40:00","","156045.503140901","312925.372610039","관광펜션업","","관리지역","3","","","","숙박시설","3","0","","","Jeil Pension","Tourism Pension","","","","","","","","317.98","","","","","","","","","","","","","318",
"368","관광펜션업","03_11_02_P","4510000","CDFI3261092011000002","2011-03-14","","01","영업/정상","13","영업중","","","","","041-932-0018","","355-943","충청남도 보령시 신흑동 2261-6번지","충청남도 보령시 머드로 134 (신흑동)","33489","아도니스","2013-11-14 14:41:17","I","2018-08-31 23:59:59","","155979.144874978","312955.369344363","관광펜션업","","관리지역","3","","","","","3","0","","","Adonis","Tourism Pension","","","","","","","","379.76","","","","","","","","","369000000","","","","380",
"369","관광펜션업","03_11_02_P","4510000","CDFI3261092011000004","2011-07-20","","01","영업/정상","13","영업중","","","","","041-953-9952","","355-943","충청남도 보령시 신흑동 2260-10번지","충청남도 보령시 머드로 130 (신흑동)","33489","해피데이펜션","2013-11-14 14:42:30","I","2018-08-31 23:59:59","","156002.174032726","312925.019416672","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Happy day pension","Tourism Pension","","","","","","","","393.36","","","","","","","","","400000000","","","","393",
"370","관광펜션업","03_11_02_P","4510000","CDFI3261092011000005","2011-12-07","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 오천면 원산도리 1671-4","충청남도 보령시 오천면 원산도7길 121","33411","햇빛바다모래관광펜션","2025-04-25 15:02:43","U","2025-04-27 02:40:00","","145923.740975646","318856.677826777","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","0","0","Haebit-bada Tourism Pension","Tourism Pension","0","0","","0","0","","0","1155.59","","0","","","","","","","100000000","","","","1156",
"371","관광펜션업","03_11_02_P","4510000","CDFI3261092012000002","2012-07-17","","01","영업/정상","13","영업중","","","","","","","355-944","충청남도 보령시 신흑동 2302-9번지","충청남도 보령시 고잠2길 16-11 (신흑동)","355-944","대천올레펜션","2013-11-14 14:10:41","I","2018-08-31 23:59:59","","156487.391812599","312467.530617155","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheon Olle Tourism Pension","Tourism Pension","","","","","","","","367.95","","","","","","","","","500000000","","","","368",
"372","관광펜션업","03_11_02_P","4510000","CDFI3261092012000003","2012-07-17","","01","영업/정상","13","영업중","","","","","","","355-944","충청남도 보령시 신흑동 2302-2번지","충청남도 보령시 고잠2길 20-6 (신흑동)","33488","대천초록펜션","2013-11-14 14:11:12","I","2018-08-31 23:59:59","","156456.083269744","312468.933060321","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheon Chorok Tourism Pension","Tourism Pension","","","","","","","","367.95","","","","","","","","","500000000","","","","368",
"373","관광펜션업","03_11_02_P","4500000","CDFI3261092015000001","2015-11-11","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 427-1번지","충청남도 공주시 반포면 제석골길 7-4","32626","펜션밀물떼","2015-11-11 16:56:58","I","2018-08-31 23:59:59","","222618.202949678","318083.751736528","관광펜션업","","","1","","","","숙박시설","1","","","","","","","","","","","","","","","","","","","","","","","","","","",
"374","관광펜션업","03_11_02_P","4500000","CDFI3261092015000002","2015-11-11","","01","영업/정상","13","영업중","","","","","855-2008","","","충청남도 공주시 반포면 마암리 648-7번지","충청남도 공주시 반포면 수목원길 25","32620","농업회사법인 주식회사 이안숲속","2016-09-23 13:13:08","I","2018-08-31 23:59:59","","217962.133790515","324528.434865411","관광펜션업","","","1","","","","숙박시설","1","","","","","","","","","","","","","","","","","","","","","","","","","","",
"375","관광펜션업","03_11_02_P","4510000","CDFI3261092012000006","2012-11-21","","01","영업/정상","13","영업중","","","","","041-932-1910","","355-943","충청남도 보령시 신흑동 2222-4번지","충청남도 보령시 머드로 176-18 (신흑동)","33489","햇살콘도식펜션","2013-11-14 14:17:17","I","2018-08-31 23:59:59","","155822.135879624","313284.009644885","관광펜션업","","관리지역","2","기타","","","숙박시설","2","1","","","Sunshine Condo style Pension","Tourism Pension","","","","","","","","341.49","","","","","","","","","650000000","","","","341",
"376","관광펜션업","03_11_02_P","4510000","CDFI3261092013000002","2013-05-15","","01","영업/정상","13","영업중","","","","","041-931-7307","","355-943","충청남도 보령시 신흑동 2303-3","충청남도 보령시 고잠2길 16-10 (신흑동)","33488","대천놀러와펜션","2021-03-31 10:07:02","U","2021-04-02 02:40:00","","156486.145","312439.625","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheonnolreowa Tourism Pension","Tourism Pension","","","","","","","","362.04","","","","","","","","","600000000","","","","362",
"377","관광펜션업","03_11_02_P","4540000","CDFI3261092017000001","2017-06-07","","01","영업/정상","13","영업중","","","","","","","","충청남도 논산시 벌곡면 도산리 90-3","충청남도 논산시 벌곡면 수락계곡길 64","33028","샤토 로리에","2021-11-16 13:21:17","U","2021-11-18 02:40:00","","228032.170097467","295280.293693112","관광펜션업","","","4","기타","","","숙박시설","3","1","0","0","","","0","0","","0","0","","0","980.9","","0","","","","","","","250000000","","","","981",
"378","관광펜션업","03_11_02_P","4510000","CDFI3261092012000005","2012-11-21","","01","영업/정상","13","영업중","","","","","041-932-0421","","355-943","충청남도 보령시 신흑동 2219-2번지","충청남도 보령시 해수욕장13길 14-12 (신흑동)","33489","대천로마펜션","2013-11-14 14:16:32","I","2018-08-31 23:59:59","","155884.524557196","313346.19506781","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Daecheon Roma Pension","Tourism Pension","","","","","","","","370.98","","","","","","","","","750000000","","","","371",
