관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
임진각 관광안내소,임진각 평화관광 매표소 맞은편,경기도,파주시,"파주시내 관광지 안내, 민북지역 평화관광 가격정보와 안내",휠체어 대여+유모차 대여,연휴 당일,09:00,18:00,09:00,18:00,3,Y,Y,Y,,031-953-4744,경기도 파주시 문산읍 임진각로 148-63,경기도 파주시 문산읍 마정리 1360-50,경기도 파주시청,,37.8909425593,126.7398788865,2025-05-13,4060000,경기도 파주시
신세계 관광안내소,신세계프리미엄아울렛 내,경기도,파주시,파주시 관광지 안내,,연휴 당일,10:00,17:00,10:00,16:30,1,N,N,N,,031-940-8514,경기도 파주시 탄현면 필승로 200,경기도 파주시 탄현면 법흥리 1790-8,경기도 파주시청,,37.7692452786,126.6965022181,2025-05-13,4060000,경기도 파주시
헤이리 여행스테이션,헤이리 갈대광장 옆,경기도,파주시,파주시 관광지 안내,,연휴 당일,10:00,17:00,10:00,16:30,1,N,N,N,,031-940-8514,경기도 파주시 탄현면 헤이리마을길 70-21,경기도 파주시 탄현면 법흥리 1652-239,경기도 파주시청,,37.7881746279,126.6992403981,2025-05-13,4060000,경기도 파주시
장단콩웰빙마루 관광안내소,웰빙마루로컬푸드 맞은편,경기도,파주시,파주시 관광지 안내,,연휴 당일,10:00,17:00,10:00,16:30,1,N,N,N,,031-940-8514,경기도 파주시 탄현면 필승로 396,경기도 파주시 탄현면 성동리 682,경기도 파주시청,,37.7769077938,126.6840755564,2025-05-13,4060000,경기도 파주시
무안군 관광안내소,무안공용터미널 건너편,전라남도,무안군,"문화관광해설사가 상주하고 있으며, 해설사의 친절한 관광지 설명을 들을 수 있습니다.",핸드폰충전+유모차대여등,연중무휴,10:00,17:00,10:00,17:00,23,Y,Y,Y,,061-454-5224,전라남도 무안군 무안읍 무안로 494,전라남도 무안군 무안읍 성남리 276-8,전라남도 무안군청,,34.98741313,126.4783762,2025-04-15,4950000,전라남도 무안군
회산백련지 관광안내소,회산백련지 관리사무소 앞,전라남도,무안군,"문화관광해설사가 상주하고 있으며, 해설사의 친절한 관광지 설명을 들을 수 있습니다.",핸드폰충전+유모차대여등,탄력적 운영,10:00,17:00,10:00,17:00,23,Y,Y,Y,,061-281-0595,,전라남도 무안군 일로읍 복룡리 142-1,전라남도 무안군청,,34.85986412,126.5297605,2025-04-15,4950000,전라남도 무안군
울산종합관광안내소,태화강역 광장 내,울산광역시,남구,"국내/외 관광객에 대한 관광정보 제공, 관광 및 시정홍보물, 각종 자료 제공",점자관광안내책자+돋보기안경+상비약,연중무휴,09:00,18:00,09:00,18:00,2,Y,N,Y,,052-229-6350,울산광역시 남구 산업로 646,울산광역시 남구 삼산동 271-28,울산관광협회,https://tour.ulsan.go.kr,35.53903142,129.3523104,2025-03-28,6310000,울산광역시
울산공항관광안내소,울산공항 1층 대합실,울산광역시,북구,"국내/외 관광객에 대한 관광정보 제공, 관광 및 시정홍보물, 각종 자료 제공",돋보기안경+상비약,연중무휴,09:00,18:00,09:00,18:00,1,Y,N,N,,052-229-6351,울산광역시 북구 산업로 1103,울산광역시 북구 송정동 522,울산관광협회,https://tour.ulsan.go.kr,35.59354655,129.3564733,2025-03-28,6310000,울산광역시
울산역안내소,울산KTX역 내,울산광역시,울주군,"국내/외 관광객에 대한 관광정보 제공, 관광 및 시정홍보물, 각종 자료 제공",돋보기안경+상비약,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,,052-229-6352,울산광역시 울주군 삼남읍 울산역로 177,울산광역시 울주군 삼남읍 신화리 88,울산관광협회,https://tour.ulsan.go.kr,35.55151142,129.1387116,2025-03-28,6310000,울산광역시
울산관광안내소,롯데광장 입구,울산광역시,남구,"국내/외 관광객에 대한 관광정보 제공, 관광 및 시정홍보물, 각종 자료 제공",돋보기안경+상비약,연중무휴,09:00,18:00,09:00,18:00,1,Y,N,Y,,052-260-6901,울산광역시 남구 삼산로 282,울산광역시 남구 삼산동 1480-1,울산관광협회,https://tour.ulsan.go.kr,35.53863478,129.3380558,2025-03-28,6310000,울산광역시
큰애기관광안내소,중구 원도심,울산광역시,중구,"국내/외 관광객에 대한 관광정보 제공, 관광 및 시정홍보물, 각종 자료 제공, 관광기념품 판매",돋보기안경+상비약,연중무휴,10:00,19:00,10:00,19:00,1,Y,Y,N,,052-296-9191,울산광역시 중구 문화의거리 28,울산광역시 중구 옥교동 234,울산관광협회,https://tour.ulsan.go.kr,35.5565898,129.3217225,2025-03-28,6310000,울산광역시
땅끝해남관광안내소,땅끝여객터미널 앞,전라남도,해남군,해남군 관광지 소개 및 관광코스 안내,,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-532-3883,전라남도 해남군 송지면 땅끝마을길 70-7,전라남도 해남군 송지면 송호리 1305,전라남도 해남군청,www.haenam.go.kr,34.29839386,126.5290421,2024-11-25,4930000,전라남도 해남군
버스터미널 관광안내소,버스터미널,광주광역시,서구,광주광역시 관광정보 제공,관광안내 및 관광홍보물 제공,연중무휴,09:00,18:00,09:00,18:00,3,Y,Y,Y,,062-365-8733,광주광역시 서구 무진대로 904(광천동),광주광역시 서구 광천동 49-1,광주광역시,https://tour.gwangju.go.kr/,35.16057492,126.879872,2024-12-04,3600000,광주광역시 서구
김해봉하마을관광안내소,김해 진영 봉하마을 입구(주차장 건너편),경상남도,김해시,"김해시 진영읍 봉하마을, 대통령생가, 봉화산 등에 대한 관광정보 및 관광통역과 문화관광 동행해설 서비스 제공 (단, 대통령 사저 : 사람사는세상 노무현재단 별도 문의) (통역, 해설 예약 필요)","관광통역(예약)+동행해설(예약)+휠체어대여(보관부스)+유모차대여(보관부스)+목발대여+전동휠체어충전+수유실+기저귀갈이대(남,녀화장실 모두 구비)+전기차충전소+수화(예약)",1월 1일+설 전일+설 당일+추석 전일+추석 당일+기타 기관이 정하는 일자,10:00,17:00,10:00,17:00,1.5,Y,Y,Y,,055-346-0660,경상남도 김해시 진영읍 봉하로 114,경상남도 김해시 진영읍 본산리 8-91,경상남도 김해시청,https://www.gimhae.go.kr/00548/00551/00558.web?amode=view&idx=939&,35.31350606,128.7701594,2024-11-29,5350000,경상남도 김해시
군산역 관광안내소,군산역내입구옆,전북특별자치도,군산시,군산시 주요관광지에 대한 설명과 지도 제공,없음,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,없음,063-446-5114,전북특별자치도 군산시 내흥2길 197,,전북특별자치도 군산시청,https://www.gunsan.go.kr/tour/,35.99808734,126.7593859,2025-01-20,4671000,전북특별자치도 군산시
시간여행 관광안내소,구)시청 광장 내,전북특별자치도,군산시,군산시 주요관광지에 대한 설명과 지도 제공,물품보관함,연중무휴,10:00,17:00,10:00,17:00,2,N,N,N,없음,063-446-5114,전북특별자치도 군산시 중앙로178 (중앙로1가),,전북특별자치도 군산시청,https://www.gunsan.go.kr/tour/,35.98772627,126.711725,2025-01-20,4671000,전북특별자치도 군산시
장자도 관광안내소,장자교차로 옆,전북특별자치도,군산시,군산시 주요관광지에 대한 설명과 지도 제공,없음,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,없음,063-465-5186,전북특별자치도 군산시 옥도면 장자도1길 10 (장자도리),,전북특별자치도 군산시청,https://www.gunsan.go.kr/tour/,35.81003578,126.3951093,2025-01-20,4671000,전북특별자치도 군산시
동국사 관광안내소,동국사 입구,전북특별자치도,군산시,군산시 주요관광지에 대한 설명과 지도 제공,없음,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,없음,063-446-5114,전북특별자치도 군산시 동국사길 16,,전북특별자치도 군산시청,https://www.gunsan.go.kr/tour/,35.98250016,126.7075393,2025-01-20,4671000,전북특별자치도 군산시
경암동 철길마을 관광안내소,군산이마트 도로 맞은편,전북특별자치도,군산시,군산시 주요관광지에 대한 설명과 지도 제공,물품보관함,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,없음,063-446-5114,전북특별자치도 군산시 구암3.1로 162,전북특별자치도 군산시 경암동 528-3,전북특별자치도 군산시청,https://www.gunsan.go.kr/tour/,35.98138817,126.7369502,2025-01-20,4671000,전북특별자치도 군산시
문화재단지 관광안내소,문화재단지,충청북도,제천시,제천시 관광전반 및 청풍 문화재단지 해설 안내,,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,4,Y,N,N,,043-641-6734,충청북도 제천시 청풍면 청풍호로2048,충청북도 제천시 청풍면 물태리 산 6-20,충청북도  제천시청,http://tour.jecheon.go.kr,37.00404878,128.1733822,2025-02-11,4400000,충청북도 제천시
의림지 관광안내소,의림지 파크랜드 인근,충청북도,제천시,제천시 관광전반 및 의림지 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,2,N,Y,N,,043-651-7101,충청북도 제천시 의림지로 33(모산동),충청북도 제천시 모산동 238-16,충청북도  제천시청,http://tour.jecheon.go.kr,37.174107,128.208077,2025-02-11,4400000,충청북도 제천시
박달재 관광안내소,박달재 정상,충청북도,제천시,제천시 관광전반 및 박달재 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,2,N,Y,N,,043-642-9398,충청북도 제천시 백운면 박달로231,충청북도 제천시 백운면 평동리 705,충청북도  제천시청,http://tour.jecheon.go.kr,37.14503962,128.056201,2025-02-11,4400000,충청북도 제천시
배론성지 관광안내소,배론성지 내,충청북도,제천시,제천시 관광전반 및 배론성지에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,2,N,N,N,,043-645-4527,충청북도 제천시 봉양읍 배론성지길 296,충청북도 제천시 봉양읍 구학리 640,충청북도  제천시청,http://tour.jecheon.go.kr,37.15952672,128.0838569,2025-02-11,4400000,충청북도 제천시
송계 관광안내소,월악산국립공원 캠핑장 입구,충청북도,제천시,제천시 관광전반 및 월악산과 송계계곡 등에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴, 동절기",09:00,18:00,10:00,17:00,1,N,N,N,,043-644-7101,충청북도 제천시 한수면 미륵송계로 1609,충청북도 제천시 한수면 송계리 731,충청북도  제천시청,http://tour.jecheon.go.kr,36.88356117,128.0784221,2025-02-11,4400000,충청북도 제천시
자양영당 관광안내소,자양영당 내,충청북도,제천시,"제천시 관광전반 및 자양영당, 의병박물관 등에 대한 해설 안내",,"신정당일, 설날연휴, 추석연휴, 월요일",09:00,18:00,10:00,17:00,1,N,N,N,,043-641-4811,충청북도 제천시 봉양읍 의암로 566-7,충청북도 제천시 봉양읍 공전리 475,충청북도  제천시청,http://tour.jecheon.go.kr,37.09959081,128.0876169,2025-02-11,4400000,충청북도 제천시
청풍 관광정보센터,만남의 광장,충청북도,제천시,제천시 관광전반 및 청풍 일원에 대한 해설 안내,건강진단기기+심장제세동기 구비,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,2,Y,N,Y,,043-641-6731,충청북도 제천시 청풍면 청풍호로 50길6,충청북도 제천시 청풍면 교리 147,충청북도  제천시청,http://tour.jecheon.go.kr,37.01083356,128.1811895,2025-02-11,4400000,충청북도 제천시
역사박물관 관광안내소,의림지 역사박물관 내,충청북도,제천시,제천시 관광전반 및 역사박물관 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴, 월요일",10:00,17:00,10:00,17:00,2,N,N,N,,043-641-5509,충청북도 제천시 의림대로47길 7,충청북도 제천시 모산동 223-2,충청북도  제천시청,http://tour.jecheon.go.kr,37.17611849,128.2095034,2025-02-11,4400000,충청북도 제천시
케이블카 관광안내소,청풍호반 케이블카 내,충청북도,제천시,제천시 관광전반 및 청풍호반 케이블카 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",10:00,17:00,10:00,17:00,2,N,N,N,,043-643-7301,충청북도 제천시 청풍면 문화재길 166,충청북도 제천시 청풍면 물태리 98-2,충청북도  제천시청,http://tour.jecheon.go.kr,37.00126444,128.1667809,2025-02-11,4400000,충청북도 제천시
영동군 관광안내소,영동역,충청북도,영동군,"영동군 관광지 소개, 교통편 등 정보 제공 및 관광지 안내 등",핸드폰 충전,연중무휴,09:00,18:00,09:00,18:00,2, , , ,,043-745-7741,충청북도 영동군 영동읍 계산로 87,,충청북도 영동군청,,36.17218116,127.7863127,2022-07-13,4440000,충청북도 영동군
화진포 관광안내소,화진포생태박물관 옆 주차장 내,강원특별자치도,고성군,화진포에 위치한 곳으로 고성을 찾아오는 관광객에게 고성관광에 대한 정보를 제공하는 곳,,연중무휴,09:00,18:00,09:00,17:30,2,Y,Y,Y,,033-680-3677,강원특별자치도 고성군 거진읍 화진포길 280,강원특별자치도 고성군 거진읍 화포리 607,강원특별자치도 고성군청,,38.47250515,128.4430602,2023-08-30,4341000,강원특별자치도 고성군
통일안보공원 관광안내소,통일안보공원 출입국사무소 앞,강원특별자치도,고성군,통일안보공원에 위치한 곳으로 고성을 찾아오는 관광객에게 고성관광에 대한 정보를 제공하는 곳,,연중무휴,09:00,19:00,09:00,17:30,1,N,N,Y,,033-681-8378,강원특별자치도 고성군 현내면 금강산로 481,강원특별자치도 고성군 현내면 마차진리 188,강원특별자치도 고성군청,,38.51438609,128.416703,2023-08-30,4341000,강원특별자치도 고성군
인천국제공항 관광안내소(동편),공항 T1,인천광역시,중구,인천 관광 종합 안내,전자기기 충전+구급약품+안전용품+체험이벤트 운영,연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0013,인천광역시 중구 공항로 271 (운서동),인천광역시 중구 운서동 2851,인천광역시청,http://itour.incheon.go.kr,37.44761034,126.4523478,2024-01-01,6280000,인천광역시
인천국제공항 관광안내소(서편),공항 T1,인천광역시,중구,인천 관광 종합 안내,전자기기 충전+구급약품+안전용품+체험이벤트 운영,연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0011,인천광역시 중구 공항로 271 (운서동),인천광역시 중구 운서동 2851,인천광역시청,http://itour.incheon.go.kr,37.44761034,126.4523478,2024-01-01,6280000,인천광역시
인천국제공항 관광안내소(2터미널),공항 T2,인천광역시,중구,인천 관광 종합 안내,전자기기 충전+구급약품+안전용품+체험이벤트 운영,연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0030,인천광역시 중구 제2터미널대로 444 (운서동),인천광역시 중구 운서동 2868,인천광역시청,http://itour.incheon.go.kr,37.4702313,126.4322012,2024-01-01,6280000,인천광역시
월미도 관광안내소,월미도,인천광역시,중구,인천 관광 종합 안내,휠체어 대여+유모차 대여+전자기기 충전+구급약품+수화물 보관+PC검색대 운영+무료인터넷+안전용품+체험이벤트 운영,설날+추석,09:00,18:00,09:00,18:00,2,Y,Y,Y,,032-765-4169,인천광역시 중구 월미문화로36 (북성1가),인천광역시 중구 북성동 1가 98-6,인천광역시청,http://itour.incheon.go.kr,37.47531795,126.597575,2024-01-01,6280000,인천광역시
인천종합관광안내소,송도,인천광역시,연수구,인천 관광 종합 안내,휠체어 대여+유모차 대여+전자기기 충전+구급약품+수화물 보관+사진인화 서비스+기념품 판매+카페 운영+무료인터넷+WIFI+안전용품+체험이벤트 운영,설날+추석,09:00,18:00,09:00,18:00,2,Y,Y,Y,,032-832-3031,인천광역시 연수구 인천타워대로234 (송도동),인천광역시 연수구 송도동 24-7,인천광역시청,http://itour.incheon.go.kr,37.39234422,126.6360437,2024-01-01,6280000,인천광역시
인천역 관광안내소,인천역,인천광역시,중구,인천 관광 종합 안내,전자기기 충전+구급약품+안전용품+체험이벤트 운영,설날+추석,09:00,18:00,09:00,18:00,2,Y,Y,Y,,032-777-1330,인천광역시 중구 제물량로271 (북성1가),인천광역시 중구 북성동 1가 3-61,인천광역시청,http://itour.incheon.go.kr,37.4761289,126.6170822,2024-01-01,6280000,인천광역시
인천버스터미널 관광안내소,인천버스터미널,인천광역시,미추홀구,인천 관광 종합 안내,전자기기 충전+구급약품+안전용품+체험이벤트 운영,설날+추석,09:00,18:00,09:00,18:00,1,Y,Y,Y,,032-435-7257,인천광역시 미추홀구 연남로35 (관교동),인천광역시 미추홀구 관교동 15,인천광역시청,http://itour.incheon.go.kr,37.44250515,126.7015187,2024-01-01,6280000,인천광역시
김해가야테마파크안내소,김해가야테마파크 내 (야외무대 건너편),경상남도,김해시,"테마파크 내부의 가야역사 및 주변 관광지(분성산, 은하사 등 신어산 일원)의 관광정보 및 관광통역과 동행해설 서비스 제공 (관광통역,해설 사전예약 필요) (가야테마파크의 입장료, 시설이용은 김해문화재단 별도 문의)","관광통역(예약)+동행해설(예약)+휠체어대여(입구)+유모차대여(입구)+휠체어/유모차보관(입구,내부(보관부스))+수유실+기저귀갈이대(남,녀 전 화장실 구비)+전동휠체어충전기+휠체어바퀴충전+휴대폰충전+퀵보드보관소+전기차충전소+수화(예약)",1월 1일+설 전일+설 당일+추석 전일+추석 당일+기타 기관이 정하는 일자,10:00,17:00,10:00,17:00,1.5,Y,Y,Y,,055-340-7948,경상남도 김해시 가야테마길 161,경상남도 김해시 어방동 986,경상남도 김해시청,https://www.gimhae.go.kr/tour.web,35.251636,128.893748,2024-11-29,5350000,경상남도 김해시
김해종합관광안내소,부산김해경전철 [박물관역] 하차 후 5분(김해시민의종 앞),경상남도,김해시,"국립김해박물관, 대성동고분군 등 가야의 주요 사적과 문화의전당, 연지공원, 민속박물관, 한글박물관(2022개관 예정) 등 문화시설이 밀집된 가야의 거리 중간에 위치. 김해시 종합관광정보 및 각종 홍보물를 제공하며 관광통역서비스와 문화관광해설사 안내를 예약할 수 있음. 1층에는 관광기념품 및 특산물 전시판매장과 수유실이 위치하고 있다. (관광통역, 해설 예약 필요)","관광통역(영어,중어 외 예약)+동행해설(예약)+휠체어/유모차 보관+수유실+기도실(예약)+수화(예약)",1월 1일+설 전일+설 당일+추석 전일+추석 당일+기타 기관이 정하는 일자,09:00,18:00,09:00,18:00,2,Y,Y,Y,,055-338-1330,경상남도 김해시 구지로 95,경상남도 김해시 대성동 463-1,경상남도 김해시청,https://www.gimhae.go.kr/tour.web,35.239221,128.873974,2024-11-29,5350000,경상남도 김해시
김해수로왕비릉관광안내소,김해시 수로왕비릉 입구 앞,경상남도,김해시,"금관가야의 시조인 수로왕의 비이자 인도공주인 허황옥의 능으로 약 2천년 전 바닷길을 통해 아유타국으로부터 나뭇배에 실어온 돌탑으로 전해오는 신비로운 ’파사석탑’을 볼 수 있다. 구지터널 위 이어진 구릉의 산책길을 통해 국내 최초 집단서사시이자 가야건국설화가 담긴 ’구지가’의 장소인 ’구지봉’으로 갈 수 있다. 인근에는 구산동고분군, 백운대고분군 등 집단 고분이 위치하고, 10분거리에 가야를 대표하는 국립김해박물관도 볼 수 있다. 해당 관광지에 대한 관광정보(리플렛 포함) 제공, 관광통역 및 동행해설 (예약필요)을 제공한다.",관광통역(예약)+동행해설(예약)+수화(예약),1월 1일+설 전일+설 당일+추석 전일+추석 당일+기타 기관이 정하는 일자,10:00,17:00,10:00,17:00,1,Y,Y,Y,,055-330-3948,경상남도 김해시 가락로190번길 1,경상남도 김해시 구산동 120-1,경상남도 김해시청,https://www.gimhae.go.kr/tour.web,35.2428835,128.8775089,2024-11-29,5350000,경상남도 김해시
정선군 종합관광안내소,정선아리랑시장 남문 앞+택시승강장 안쪽,강원특별자치도,정선군,정선군 관광안내,,설 당일+추석 당일,10:00,17:00,10:00,17:00,2, , , ,,1544-9053,강원특별자치도 정선군 정선읍 정선로 1357-1,강원특별자치도 정선군 정선읍 봉양리 351-1,강원특별자치도 정선군청,,37.38000406,128.664865,2024-12-05,4291000,강원특별자치도 정선군
수암골관광안내소,수암골 마실 앞,충청북도,청주시,수암골 관광안내 및 통역 지원,,설 당일+추석 당일,10:00,17:00,10:00,17:00,2, ,Y,Y,,043-253-1330,충청북도 청주시 상당구 수동 81-11,충청북도 청주시 상당구 수동 81-11,충청북도 청주시청 관광정책과,,36.647365,127.494019,2022-05-20,5710000,충청북도 청주시
복합터미널관광안내소,복합터미널,대전광역시,동구,"대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공",핸드폰충전,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,,042-633-1355,대전광역시 동구 동서대로 1695번길 30,대전광역시 동구 용전동 68-2,대전광역시관광협회,,36.3512760051,127.4375182993,2021-10-26,6300000,대전광역시
오월드관광안내소,오월드,대전광역시,중구,"대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공",핸드폰충전,연중무휴,09:00,18:00,09:00,18:00,1,Y,Y,Y,,042-586-1330,대전광역시 중구 사정공원로 70,대전광역시 중구 사정동 100,대전광역시관광협회,,36.2874992442,127.3985038951,2021-10-26,6300000,대전광역시
여수공항 관광안내소,여수공항 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,09:00,17:30,09:00,17:30,1,N,Y,N,,061-659-5699,전라남도 여수시 율촌면 여순로 386,전라남도 여수시 율촌면 신풍리 979,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.84023268,127.613997,2024-03-13,4810000,전라남도 여수시
여수엑스포역 종합관광안내소,여수엑스포역  광장,전라남도,여수시,여수관광 정보 제공,,연중무휴,09:00,21:00,09:00,21:00,2,N,N,N,,061-659-5696,전라남도 여수시 망양로 2 (덕충동),전라남도 여수시 덕충동 61-7,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.75310731,127.7488924,2024-03-13,4810000,전라남도 여수시
여수연안여객선터미널 관광안내소,여수연안여객선터미널 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-659-5707,전라남도 여수시 여객선터미널길 17 (교동),전라남도 여수시 교동682-1,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.7384465,127.7328526,2024-03-13,4810000,전라남도 여수시
수성못 관광안내소(모티),수성못 상화동산 동편 입구,대구광역시,수성구,수성구 관광지를 안내하고 수성구 캐릭터 뚜비 굿즈를 전시 및 판매하는 공간입니다.,"관광기념품 전시 및 판매장, 수유실, 미디어아트 전광판, 휴대폰충전 등",설+추석 당일,10:00,19:00,09:00,18:00,2,Y, , ,,053-761-0645,대구광역시 수성구 수성못길 37,대구광역시 수성구 두산동 606-2,(재)수성문화재단,https://www.sscf.or.kr/pages/sub.htm?nav_code=new1708668244,35.828650904,128.6213728247,2025-06-24,3460000,대구광역시 수성구
모명재 관광안내소,모명재 내부,대구광역시,수성구,모명재 역사 해설 및 관광 안내,"점자 안내도, 휴대폰충전 등",설+추석 당일,09:00,18:00,09:00,18:00,1,Y, , ,,053-741-6712,대구광역시 수성구 달구벌대로525길 14-21,대구광역시 수성구 만촌동 715-1,(재)수성문화재단,https://www.sscf.or.kr/pages/sub.htm?nav_code=new1708668290,35.85848031,128.6514957778,2025-06-24,3460000,대구광역시 수성구
송파관광정보센터,석촌호수 동호(롯데월드타워 앞),서울특별시,송파구,송파를 찾는 국내외 관광객들에게 관광정보를 제공합니다.,크로마키존 사진촬영+한성백제의상체험+송파사랑의 우체통·자물쇠트리 운영+관광기념품 판매+핸드폰충전+물품보관함+VR체험,매주 월요일(공휴일제외)+설 당일+추석 당일,10:00,18:00,10:00,18:00,3,Y,Y,Y,,02-421-0970,서울특별시 송파구 송파나루길 206,서울특별시 송파구 신천동 32,서울특별시 송파구청,https://www.songpa.go.kr/culture/contents.do?key=3891&,37.51189841,127.1042446,2025-06-23,3230000,서울특별시 송파구
한개마을 관광안내소,한개마을 입구,경상북도,성주군,한개마을 입구에 위치한 관광안내소,문화관광해설사 해설,1월1일+설 당일+추석 당일,10:00,17:00,10:00,17:00,1,N,N,N,,054-930-8374,경상북도 성주군 월항면 한개1길 12-5,경상북도 성주군 월항면 대산리 104,경상북도 성주군청,http://www.sj.go.kr/tour,35.9283621,128.3273831,2025-06-20,5210000,경상북도 성주군
언양읍성안내소,언양읍성 북문,울산광역시,울주군,언양읍성 관광 정보를 제공합니다.,,설 당일+추석 당일,09:00,18:00,09:00,18:00,2,N,N,N,,052-264-0325,울산광역시 울주군 언양읍 읍성로 130,울산광역시 울주군 언양읍 동부리 336-1,울산광역시 울주군청,,35.570018,129.122319,2025-07-02,3730000,울산광역시 울주군
관광수산시장 관광안내소,속초관광수산시장 주차장 내,강원특별자치도,속초시,"주변 관광지, 관내 숙박업소, 교통정보를 제공합니다.",인터넷 정보검색+팩스+복사+프린터,설날+추석+근로자의날,09:00,18:00,09:00,18:00,2,Y,Y,Y,,033-639-2568,강원특별자치도 속초시 수복로 191,강원특별자치도 속초시 금호동 488-408,강원특별자치도 속초시청,https://www.sokcho.go.kr/ct/tour/tour_guide/guide,38.20475131,128.5873483,2025-07-01,4231000,강원특별자치도 속초시
고속터미널 관광안내소,고속버스터미널 앞,강원특별자치도,속초시,"주변 관광지, 관내 숙박업소, 교통정보를 제공합니다.",인터넷 정보검색+팩스+복사+프린터,설당일+추석당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,033-639-2830,강원특별자치도 속초시 동해대로 3988 (조양동),강원특별자치도 속초시 조양동 1418,강원특별자치도 속초시청,https://www.sokcho.go.kr/ct/tour/tour_guide/guide,38.19049321,128.598734,2025-07-01,4231000,강원특별자치도 속초시
시외터미널 관광안내소,시외버스터미널 앞,강원특별자치도,속초시,"주변 관광지, 관내 숙박업소, 교통정보를 제공합니다.",인터넷 정보검색+팩스+복사+프린터,설당일+추석당일,09:00,18:00,09:00,18:00,1,Y,Y,Y,,033-639-2689,강원특별자치도 속초시 장안로 16 (동명동),강원특별자치도 속초시 동명동 261-16,강원특별자치도 속초시청,https://www.sokcho.go.kr/ct/tour/tour_guide/guide,38.21112483,128.591122,2025-07-01,4231000,강원특별자치도 속초시
해맞이 관광안내소,설악해맞이공원 내,강원특별자치도,속초시,"주변 관광지, 관내 숙박업소, 교통정보를 제공합니다.",화장실+휴게공간+인터넷 정보검색+팩스+복사+프린터,설날+추석+근로자의날,09:00,18:00,09:00,18:00,2,Y,Y,Y,,033-635-2003,강원특별자치도 속초시 동해대로 3664 (대포동),강원특별자치도 속초시 대포동 178-9,강원특별자치도 속초시청,https://www.sokcho.go.kr/ct/tour/tour_guide/guide,38.1631289,128.6085042,2025-07-01,4231000,강원특별자치도 속초시
강천산종합관광안내소,전라북도 순창군 팔덕면 강천산길 75,전라북도,순창군,강천산 군립공원 내 순창 관광 안내소,,명절연휴+기타(교육),10:00,17:00,10:00,17:00,2,N,N,N,,063-650-1674,전라북도 순창군 팔덕면 강천산길 75,전라북도 순창군 팔덕면 청계리 958-1,전라북도 순창군,https://www.sunchang.go.kr/tour/index.sunchang?menuCd=DOM_000000404008000000,35.4085178,127.0700361,2022-06-15,4771000,전북특별자치도 순창군
터미널관광안내소,전라북도 순창군 순창읍 장류로 355,전라북도,순창군,순창군 내 순창 관광 안내소,,명절연휴+기타(교육),09:00,18:00,09:00,18:00,2,N,N,N,,063-652-1674,전라북도 순창군 순창읍 장류로 355,전라북도 순창군 순창읍 순화리 114-14,전라북도 순창군,https://www.sunchang.go.kr/tour/index.sunchang?menuCd=DOM_000000404008000000,35.37676984,127.1411986,2022-06-15,4771000,전북특별자치도 순창군
